method,description
GetPageMetadata,Return metadata about a page. You may choose to include the OCR text and a list of names found on the page.
GetPageOcrText,Return the OCR-generated text of a page.
GetPageNames,Return a list of names that appear on a page.
GetItemMetadata,
GetItemByIdentifier,
GetItemPages,
GetUnpublishedItems,
GetTitleMetadata,
GetTitleItems,
GetTitleByIdentifier,
TitleSearchSimple,
GetTitleBibTex,
GetTitleEndNote,
GetUnpublishedTitles,
SubjectSearch,
GetSubjectTitles,
AuthorSearch,
GetAuthorTitles,
NameCount,
NameList,
NameGetDetail,
NameSearch,
GetCollections,
GetLanguages,
